prompt,a,b,solution,carry_u,carry_d,completion,prediction,correct,bin
"1602+3962=5564
2144+4290=6434
3882+4307=8189
48+226=",48,226,274,True,False,"1602+3962=5564
2144+4290=6434
3882+4307=8189
48+226=274",274,True,"[200, 300)"
"472+4383=4855
1378+612=1990
2931+2230=5161
108+167=",108,167,275,True,False,"472+4383=4855
1378+612=1990
2931+2230=5161
108+167=275",275,True,"[200, 300)"
"4422+518=4940
4616+2896=7512
4441+3869=8310
153+122=",153,122,275,False,False,"4422+518=4940
4616+2896=7512
4441+3869=8310
153+122=275",275,True,"[200, 300)"
"511+4505=5016
4281+1806=6087
3827+971=4798
110+166=",110,166,276,False,False,"511+4505=5016
4281+1806=6087
3827+971=4798
110+166=276",276,True,"[200, 300)"
"1569+1670=3239
3506+258=3764
4672+4068=8740
8+268=",8,268,276,True,False,"1569+1670=3239
3506+258=3764
4672+4068=8740
8+268=276",276,True,"[200, 300)"
"983+4303=5286
2018+1337=3355
1022+730=1752
257+20=",257,20,277,False,False,"983+4303=5286
2018+1337=3355
1022+730=1752
257+20=277",277,True,"[200, 300)"
"532+2093=2625
4967+4758=9725
1458+3197=4655
233+44=",233,44,277,False,False,"532+2093=2625
4967+4758=9725
1458+3197=4655
233+44=277",277,True,"[200, 300)"
"4465+2116=6581
67+9=76
941+3316=4257
246+32=",246,32,278,False,False,"4465+2116=6581
67+9=76
941+3316=4257
246+32=278",278,True,"[200, 300)"
"3698+747=4445
1033+2301=3334
1119+348=1467
160+118=",160,118,278,False,False,"3698+747=4445
1033+2301=3334
1119+348=1467
160+118=278",278,True,"[200, 300)"
"2548+4775=7323
3595+3648=7243
291+2185=2476
227+52=",227,52,279,False,False,"2548+4775=7323
3595+3648=7243
291+2185=2476
227+52=280",280,False,"[200, 300)"
"3730+3975=7705
1862+518=2380
4798+4917=9715
122+157=",122,157,279,False,False,"3730+3975=7705
1862+518=2380
4798+4917=9715
122+157=279",279,True,"[200, 300)"
"2874+319=3193
3301+975=4276
2128+4979=7107
211+69=",211,69,280,True,False,"2874+319=3193
3301+975=4276
2128+4979=7107
211+69=280",280,True,"[200, 300)"
"4336+2458=6794
3949+2400=6349
4263+3501=7764
223+57=",223,57,280,True,False,"4336+2458=6794
3949+2400=6349
4263+3501=7764
223+57=280",280,True,"[200, 300)"
"1874+2412=4286
2800+4572=7372
2600+1303=3903
258+23=",258,23,281,True,False,"1874+2412=4286
2800+4572=7372
2600+1303=3903
258+23=281",281,True,"[200, 300)"
"3493+3861=7354
3761+1444=5205
1635+2157=3792
213+68=",213,68,281,True,False,"3493+3861=7354
3761+1444=5205
1635+2157=3792
213+68=281",281,True,"[200, 300)"
"1588+4033=5621
4236+360=4596
1922+4751=6673
95+187=",95,187,282,True,True,"1588+4033=5621
4236+360=4596
1922+4751=6673
95+187=282",282,True,"[200, 300)"
"1357+2605=3962
4502+836=5338
3528+1248=4776
79+203=",79,203,282,True,False,"1357+2605=3962
4502+836=5338
3528+1248=4776
79+203=282",282,True,"[200, 300)"
"2871+4464=7335
3757+4000=7757
3530+4975=8505
47+236=",47,236,283,True,False,"2871+4464=7335
3757+4000=7757
3530+4975=8505
47+236=283",283,True,"[200, 300)"
"4978+1497=6475
3+2781=2784
1924+4347=6271
67+216=",67,216,283,True,False,"4978+1497=6475
3+2781=2784
1924+4347=6271
67+216=283",283,True,"[200, 300)"
"1998+4858=6856
527+2283=2810
2097+2977=5074
104+180=",104,180,284,False,False,"1998+4858=6856
527+2283=2810
2097+2977=5074
104+180=904",904,False,"[200, 300)"
"3920+2205=6125
2069+2563=4632
3350+2111=5461
268+16=",268,16,284,True,False,"3920+2205=6125
2069+2563=4632
3350+2111=5461
268+16=284",284,True,"[200, 300)"
"4994+4545=9539
3067+1035=4102
3821+1047=4868
151+134=",151,134,285,False,False,"4994+4545=9539
3067+1035=4102
3821+1047=4868
151+134=285",285,True,"[200, 300)"
"287+3951=4238
3839+105=3944
3869+3300=7169
78+207=",78,207,285,True,False,"287+3951=4238
3839+105=3944
3869+3300=7169
78+207=285",285,True,"[200, 300)"
"350+2778=3128
1581+2362=3943
2595+4401=6996
176+110=",176,110,286,False,False,"350+2778=3128
1581+2362=3943
2595+4401=6996
176+110=286",286,True,"[200, 300)"
"1285+4799=6084
2771+4529=7300
4474+708=5182
164+122=",164,122,286,False,False,"1285+4799=6084
2771+4529=7300
4474+708=5182
164+122=286",286,True,"[200, 300)"
"2777+4774=7551
2639+1024=3663
717+4607=5324
199+88=",199,88,287,True,True,"2777+4774=7551
2639+1024=3663
717+4607=5324
199+88=287",287,True,"[200, 300)"
"2072+3390=5462
1939+1232=3171
325+3168=3493
62+225=",62,225,287,False,False,"2072+3390=5462
1939+1232=3171
325+3168=3493
62+225=287",287,True,"[200, 300)"
"4275+1372=5647
2525+4706=7231
4562+1399=5961
141+147=",141,147,288,False,False,"4275+1372=5647
2525+4706=7231
4562+1399=5961
141+147=288",288,True,"[200, 300)"
"2281+1676=3957
262+646=908
1137+106=1243
164+124=",164,124,288,False,False,"2281+1676=3957
262+646=908
1137+106=1243
164+124=288",288,True,"[200, 300)"
"3838+4632=8470
2663+2352=5015
769+4487=5256
183+106=",183,106,289,False,False,"3838+4632=8470
2663+2352=5015
769+4487=5256
183+106=289",289,True,"[200, 300)"
"3971+3256=7227
4178+368=4546
292+3062=3354
90+199=",90,199,289,False,True,"3971+3256=7227
4178+368=4546
292+3062=3354
90+199=289",289,True,"[200, 300)"
"1636+4695=6331
3388+4336=7724
1788+198=1986
224+66=",224,66,290,True,False,"1636+4695=6331
3388+4336=7724
1788+198=1986
224+66=290",290,True,"[200, 300)"
"89+675=764
1029+4105=5134
4807+1063=5870
86+204=",86,204,290,True,False,"89+675=764
1029+4105=5134
4807+1063=5870
86+204=290",290,True,"[200, 300)"
"1771+2360=4131
1037+3423=4460
2345+3308=5653
241+50=",241,50,291,False,False,"1771+2360=4131
1037+3423=4460
2345+3308=5653
241+50=291",291,True,"[200, 300)"
"643+65=708
2178+4011=6189
4034+2873=6907
92+199=",92,199,291,True,True,"643+65=708
2178+4011=6189
4034+2873=6907
92+199=291",291,True,"[200, 300)"
"3521+2150=5671
2435+2973=5408
1260+3311=4571
260+32=",260,32,292,False,False,"3521+2150=5671
2435+2973=5408
1260+3311=4571
260+32=296",296,False,"[200, 300)"
"2979+4281=7260
4141+4967=9108
553+4140=4693
21+271=",21,271,292,False,False,"2979+4281=7260
4141+4967=9108
553+4140=4693
21+271=292",292,True,"[200, 300)"
"1188+2190=3378
2086+4035=6121
2162+589=2751
133+160=",133,160,293,False,False,"1188+2190=3378
2086+4035=6121
2162+589=2751
133+160=293",293,True,"[200, 300)"
"1446+55=1501
1194+1750=2944
4428+4735=9163
71+222=",71,222,293,False,False,"1446+55=1501
1194+1750=2944
4428+4735=9163
71+222=293",293,True,"[200, 300)"
"2958+1193=4151
2489+2173=4662
503+2022=2525
62+232=",62,232,294,False,False,"2958+1193=4151
2489+2173=4662
503+2022=2525
62+232=294",294,True,"[200, 300)"
"4667+3112=7779
358+901=1259
2989+1255=4244
31+263=",31,263,294,False,False,"4667+3112=7779
358+901=1259
2989+1255=4244
31+263=294",294,True,"[200, 300)"
"2720+2317=5037
2342+289=2631
1138+1207=2345
41+254=",41,254,295,False,False,"2720+2317=5037
2342+289=2631
1138+1207=2345
41+254=295",295,True,"[200, 300)"
"4514+446=4960
406+38=444
4678+3454=8132
259+36=",259,36,295,True,False,"4514+446=4960
406+38=444
4678+3454=8132
259+36=305",305,False,"[200, 300)"
"3462+1951=5413
841+82=923
768+4145=4913
45+251=",45,251,296,False,False,"3462+1951=5413
841+82=923
768+4145=4913
45+251=296",296,True,"[200, 300)"
"4093+3992=8085
1271+3332=4603
3127+1117=4244
51+245=",51,245,296,False,False,"4093+3992=8085
1271+3332=4603
3127+1117=4244
51+245=296",296,True,"[200, 300)"
"2134+3010=5144
531+2046=2577
2149+1956=4105
84+213=",84,213,297,False,False,"2134+3010=5144
531+2046=2577
2149+1956=4105
84+213=297",297,True,"[200, 300)"
"4109+318=4427
114+3225=3339
921+4721=5642
273+24=",273,24,297,False,False,"4109+318=4427
114+3225=3339
921+4721=5642
273+24=297",297,True,"[200, 300)"
"248+1208=1456
1039+3497=4536
3997+1646=5643
273+25=",273,25,298,False,False,"248+1208=1456
1039+3497=4536
3997+1646=5643
273+25=298",298,True,"[200, 300)"
"3179+3986=7165
4502+2341=6843
627+1624=2251
216+82=",216,82,298,False,False,"3179+3986=7165
4502+2341=6843
627+1624=2251
216+82=298",298,True,"[200, 300)"
"2168+3272=5440
4968+3810=8778
4189+84=4273
47+252=",47,252,299,False,False,"2168+3272=5440
4968+3810=8778
4189+84=4273
47+252=299",299,True,"[200, 300)"
"3165+476=3641
4334+1874=6208
1744+1048=2792
27+272=",27,272,299,False,False,"3165+476=3641
4334+1874=6208
1744+1048=2792
27+272=299",299,True,"[200, 300)"
"3079+768=3847
2554+173=2727
2483+3940=6423
233+67=",233,67,300,True,True,"3079+768=3847
2554+173=2727
2483+3940=6423
233+67=300",300,True,"[300, 400)"
"1615+1524=3139
92+4265=4357
2858+478=3336
8+292=",8,292,300,True,True,"1615+1524=3139
92+4265=4357
2858+478=3336
8+292=290",290,False,"[300, 400)"
"3723+4097=7820
4787+2248=7035
501+1003=1504
76+225=",76,225,301,True,True,"3723+4097=7820
4787+2248=7035
501+1003=1504
76+225=291",291,False,"[300, 400)"
"3208+2118=5326
3760+4795=8555
4384+2331=6715
150+151=",150,151,301,False,True,"3208+2118=5326
3760+4795=8555
4384+2331=6715
150+151=301",301,True,"[300, 400)"
"1464+241=1705
3966+1391=5357
1821+2267=4088
270+32=",270,32,302,False,True,"1464+241=1705
3966+1391=5357
1821+2267=4088
270+32=302",302,True,"[300, 400)"
"3635+4576=8211
2515+2120=4635
4045+4833=8878
44+258=",44,258,302,True,True,"3635+4576=8211
2515+2120=4635
4045+4833=8878
44+258=262",262,False,"[300, 400)"
"2527+1992=4519
2199+923=3122
648+4794=5442
63+240=",63,240,303,False,True,"2527+1992=4519
2199+923=3122
648+4794=5442
63+240=2463",2463,False,"[300, 400)"
"17+1210=1227
1903+3868=5771
223+3536=3759
78+225=",78,225,303,True,True,"17+1210=1227
1903+3868=5771
223+3536=3759
78+225=303",303,True,"[300, 400)"
"3373+1359=4732
2399+1610=4009
4187+2879=7066
89+215=",89,215,304,True,True,"3373+1359=4732
2399+1610=4009
4187+2879=7066
89+215=304",304,True,"[300, 400)"
"4563+4302=8865
206+1969=2175
4660+2660=7320
150+154=",150,154,304,False,True,"4563+4302=8865
206+1969=2175
4660+2660=7320
150+154=304",304,True,"[300, 400)"
"2526+3241=5767
586+1114=1700
4839+3530=8369
221+84=",221,84,305,False,True,"2526+3241=5767
586+1114=1700
4839+3530=8369
221+84=305",305,True,"[300, 400)"
"4723+4711=9434
1608+2999=4607
955+4272=5227
233+72=",233,72,305,False,True,"4723+4711=9434
1608+2999=4607
955+4272=5227
233+72=305",305,True,"[300, 400)"
"256+4575=4831
1587+1079=2666
1641+321=1962
12+294=",12,294,306,False,True,"256+4575=4831
1587+1079=2666
1641+321=1962
12+294=306",306,True,"[300, 400)"
"4250+2636=6886
4770+347=5117
4855+1000=5855
12+294=",12,294,306,False,True,"4250+2636=6886
4770+347=5117
4855+1000=5855
12+294=306",306,True,"[300, 400)"
"3484+986=4470
1123+2434=3557
3216+4515=7731
23+284=",23,284,307,False,True,"3484+986=4470
1123+2434=3557
3216+4515=7731
23+284=286",286,False,"[300, 400)"
"4087+739=4826
4401+3905=8306
1744+1549=3293
187+120=",187,120,307,False,True,"4087+739=4826
4401+3905=8306
1744+1549=3293
187+120=307",307,True,"[300, 400)"
"2334+3364=5698
4188+3274=7462
723+2637=3360
35+273=",35,273,308,False,True,"2334+3364=5698
4188+3274=7462
723+2637=3360
35+273=308",308,True,"[300, 400)"
"2382+4058=6440
1649+2194=3843
3246+4115=7361
194+114=",194,114,308,False,True,"2382+4058=6440
1649+2194=3843
3246+4115=7361
194+114=308",308,True,"[300, 400)"
"4065+2897=6962
4384+2504=6888
2143+1511=3654
169+140=",169,140,309,False,True,"4065+2897=6962
4384+2504=6888
2143+1511=3654
169+140=309",309,True,"[300, 400)"
"1214+1020=2234
189+425=614
3579+2055=5634
280+29=",280,29,309,False,True,"1214+1020=2234
189+425=614
3579+2055=5634
280+29=309",309,True,"[300, 400)"
"2123+1758=3881
936+3179=4115
1845+276=2121
196+114=",196,114,310,True,True,"2123+1758=3881
936+3179=4115
1845+276=2121
196+114=310",310,True,"[300, 400)"
"3833+106=3939
2143+58=2201
1243+2582=3825
298+12=",298,12,310,True,True,"3833+106=3939
2143+58=2201
1243+2582=3825
298+12=310",310,True,"[300, 400)"
"2196+1168=3364
4169+4319=8488
3639+4853=8492
286+25=",286,25,311,True,True,"2196+1168=3364
4169+4319=8488
3639+4853=8492
286+25=311",311,True,"[300, 400)"
"2765+3759=6524
3033+2433=5466
4676+4729=9405
42+269=",42,269,311,True,True,"2765+3759=6524
3033+2433=5466
4676+4729=9405
42+269=311",311,True,"[300, 400)"
"4655+4401=9056
1170+4118=5288
602+604=1206
86+226=",86,226,312,True,True,"4655+4401=9056
1170+4118=5288
602+604=1206
86+226=312",312,True,"[300, 400)"
"2027+2149=4176
4561+1720=6281
907+2706=3613
166+146=",166,146,312,True,True,"2027+2149=4176
4561+1720=6281
907+2706=3613
166+146=312",312,True,"[300, 400)"
"4071+2463=6534
4821+1552=6373
3410+1174=4584
95+218=",95,218,313,True,True,"4071+2463=6534
4821+1552=6373
3410+1174=4584
95+218=313",313,True,"[300, 400)"
"1719+2370=4089
3770+2525=6295
324+3282=3606
162+151=",162,151,313,False,True,"1719+2370=4089
3770+2525=6295
324+3282=3606
162+151=213",213,False,"[300, 400)"
"771+3218=3989
3933+574=4507
1915+440=2355
267+47=",267,47,314,True,True,"771+3218=3989
3933+574=4507
1915+440=2355
267+47=314",314,True,"[300, 400)"
"4577+3863=8440
3942+1365=5307
555+2323=2878
51+263=",51,263,314,False,True,"4577+3863=8440
3942+1365=5307
555+2323=2878
51+263=214",214,False,"[300, 400)"
"4358+3342=7700
3579+3779=7358
1961+3240=5201
115+200=",115,200,315,False,False,"4358+3342=7700
3579+3779=7358
1961+3240=5201
115+200=315",315,True,"[300, 400)"
"1494+911=2405
4068+3077=7145
3798+636=4434
244+71=",244,71,315,False,True,"1494+911=2405
4068+3077=7145
3798+636=4434
244+71=315",315,True,"[300, 400)"
"78+1951=2029
565+3179=3744
4613+4705=9318
256+60=",256,60,316,False,True,"78+1951=2029
565+3179=3744
4613+4705=9318
256+60=216",216,False,"[300, 400)"
"2377+2897=5274
4996+4008=9004
4101+4669=8770
87+229=",87,229,316,True,True,"2377+2897=5274
4996+4008=9004
4101+4669=8770
87+229=316",316,True,"[300, 400)"
"4066+2508=6574
2027+2096=4123
135+2281=2416
229+88=",229,88,317,True,True,"4066+2508=6574
2027+2096=4123
135+2281=2416
229+88=317",317,True,"[300, 400)"
"4235+3303=7538
4663+1477=6140
212+2860=3072
74+243=",74,243,317,False,True,"4235+3303=7538
4663+1477=6140
212+2860=3072
74+243=251",251,False,"[300, 400)"
"4451+3036=7487
2981+2036=5017
2540+3700=6240
282+36=",282,36,318,False,True,"4451+3036=7487
2981+2036=5017
2540+3700=6240
282+36=318",318,True,"[300, 400)"
"2768+3941=6709
3603+2520=6123
2139+2078=4217
240+78=",240,78,318,False,True,"2768+3941=6709
3603+2520=6123
2139+2078=4217
240+78=318",318,True,"[300, 400)"
"2483+525=3008
4400+4609=9009
4448+1582=6030
284+35=",284,35,319,False,True,"2483+525=3008
4400+4609=9009
4448+1582=6030
284+35=319",319,True,"[300, 400)"
"3553+349=3902
2109+4501=6610
636+4313=4949
300+19=",300,19,319,False,False,"3553+349=3902
2109+4501=6610
636+4313=4949
300+19=319",319,True,"[300, 400)"
"4435+3993=8428
4717+621=5338
1919+2970=4889
218+102=",218,102,320,True,False,"4435+3993=8428
4717+621=5338
1919+2970=4889
218+102=320",320,True,"[300, 400)"
"3467+1815=5282
1519+1374=2893
4474+3719=8193
298+22=",298,22,320,True,True,"3467+1815=5282
1519+1374=2893
4474+3719=8193
298+22=320",320,True,"[300, 400)"
"1026+69=1095
37+3452=3489
1557+2374=3931
256+65=",256,65,321,True,True,"1026+69=1095
37+3452=3489
1557+2374=3931
256+65=321",321,True,"[300, 400)"
"2015+2476=4491
4925+3765=8690
1328+2040=3368
45+276=",45,276,321,True,True,"2015+2476=4491
4925+3765=8690
1328+2040=3368
45+276=321",321,True,"[300, 400)"
"4551+924=5475
4441+4990=9431
3267+533=3800
2+320=",2,320,322,False,False,"4551+924=5475
4441+4990=9431
3267+533=3800
2+320=322",322,True,"[300, 400)"
"3145+631=3776
2825+121=2946
1531+3691=5222
50+272=",50,272,322,False,True,"3145+631=3776
2825+121=2946
1531+3691=5222
50+272=322",322,True,"[300, 400)"
"3886+1845=5731
511+799=1310
470+465=935
219+104=",219,104,323,True,False,"3886+1845=5731
511+799=1310
470+465=935
219+104=323",323,True,"[300, 400)"
"3360+4875=8235
928+948=1876
1840+4441=6281
195+128=",195,128,323,True,True,"3360+4875=8235
928+948=1876
1840+4441=6281
195+128=323",323,True,"[300, 400)"
"2603+1996=4599
2920+3759=6679
3033+2571=5604
243+81=",243,81,324,False,True,"2603+1996=4599
2920+3759=6679
3033+2571=5604
243+81=324",324,True,"[300, 400)"
"2542+2046=4588
687+1591=2278
1869+2736=4605
62+262=",62,262,324,False,True,"2542+2046=4588
687+1591=2278
1869+2736=4605
62+262=324",324,True,"[300, 400)"
"1356+1503=2859
4187+1630=5817
2023+2230=4253
164+161=",164,161,325,False,True,"1356+1503=2859
4187+1630=5817
2023+2230=4253
164+161=325",325,True,"[300, 400)"
"3014+1251=4265
1647+1007=2654
4467+4554=9021
50+275=",50,275,325,False,True,"3014+1251=4265
1647+1007=2654
4467+4554=9021
50+275=325",325,True,"[300, 400)"
"3712+4162=7874
2714+1454=4168
2243+1920=4163
85+241=",85,241,326,False,True,"3712+4162=7874
2714+1454=4168
2243+1920=4163
85+241=326",326,True,"[300, 400)"
"1591+2424=4015
75+3559=3634
1144+4890=6034
179+147=",179,147,326,True,True,"1591+2424=4015
75+3559=3634
1144+4890=6034
179+147=326",326,True,"[300, 400)"
"265+4539=4804
4288+4080=8368
212+1669=1881
289+38=",289,38,327,True,True,"265+4539=4804
4288+4080=8368
212+1669=1881
289+38=327",327,True,"[300, 400)"
"953+2697=3650
4967+3411=8378
3281+3490=6771
294+33=",294,33,327,False,True,"953+2697=3650
4967+3411=8378
3281+3490=6771
294+33=327",327,True,"[300, 400)"
"186+1877=2063
4370+806=5176
2493+3523=6016
322+6=",322,6,328,False,False,"186+1877=2063
4370+806=5176
2493+3523=6016
322+6=328",328,True,"[300, 400)"
"2738+4=2742
2867+1555=4422
3271+4143=7414
107+221=",107,221,328,False,False,"2738+4=2742
2867+1555=4422
3271+4143=7414
107+221=328",328,True,"[300, 400)"
"2086+4411=6497
4041+2540=6581
1988+2334=4322
85+244=",85,244,329,False,True,"2086+4411=6497
4041+2540=6581
1988+2334=4322
85+244=329",329,True,"[300, 400)"
"2692+379=3071
2000+2768=4768
54+897=951
19+310=",19,310,329,False,False,"2692+379=3071
2000+2768=4768
54+897=951
19+310=329",329,True,"[300, 400)"
"209+3706=3915
2171+1082=3253
1936+3649=5585
129+201=",129,201,330,True,False,"209+3706=3915
2171+1082=3253
1936+3649=5585
129+201=330",330,True,"[300, 400)"
"3616+782=4398
2266+4971=7237
666+3825=4491
222+108=",222,108,330,True,False,"3616+782=4398
2266+4971=7237
666+3825=4491
222+108=322",322,False,"[300, 400)"
"1401+4238=5639
3322+1817=5139
2098+2251=4349
315+16=",315,16,331,True,False,"1401+4238=5639
3322+1817=5139
2098+2251=4349
315+16=331",331,True,"[300, 400)"
"1453+96=1549
863+2069=2932
1938+3455=5393
294+37=",294,37,331,True,True,"1453+96=1549
863+2069=2932
1938+3455=5393
294+37=331",331,True,"[300, 400)"
"1487+2682=4169
1181+2865=4046
1983+1970=3953
299+33=",299,33,332,True,True,"1487+2682=4169
1181+2865=4046
1983+1970=3953
299+33=338",338,False,"[300, 400)"
"4725+607=5332
1010+4561=5571
2162+1749=3911
153+179=",153,179,332,True,True,"4725+607=5332
1010+4561=5571
2162+1749=3911
153+179=332",332,True,"[300, 400)"
"3420+4451=7871
470+2808=3278
988+4225=5213
282+51=",282,51,333,False,True,"3420+4451=7871
470+2808=3278
988+4225=5213
282+51=333",333,True,"[300, 400)"
"4566+3053=7619
3939+1404=5343
3695+2542=6237
115+218=",115,218,333,True,False,"4566+3053=7619
3939+1404=5343
3695+2542=6237
115+218=333",333,True,"[300, 400)"
"130+3220=3350
2075+2494=4569
1361+2195=3556
256+78=",256,78,334,True,True,"130+3220=3350
2075+2494=4569
1361+2195=3556
256+78=334",334,True,"[300, 400)"
"2335+988=3323
718+3175=3893
1936+2780=4716
85+249=",85,249,334,True,True,"2335+988=3323
718+3175=3893
1936+2780=4716
85+249=334",334,True,"[300, 400)"
"2699+4597=7296
3068+3640=6708
1917+344=2261
159+176=",159,176,335,True,True,"2699+4597=7296
3068+3640=6708
1917+344=2261
159+176=335",335,True,"[300, 400)"
"2011+450=2461
3479+1210=4689
3201+3984=7185
275+60=",275,60,335,False,True,"2011+450=2461
3479+1210=4689
3201+3984=7185
275+60=335",335,True,"[300, 400)"
"269+4506=4775
4483+1397=5880
3152+426=3578
296+40=",296,40,336,False,True,"269+4506=4775
4483+1397=5880
3152+426=3578
296+40=336",336,True,"[300, 400)"
"4442+3251=7693
361+483=844
4972+3142=8114
219+117=",219,117,336,True,False,"4442+3251=7693
361+483=844
4972+3142=8114
219+117=336",336,True,"[300, 400)"
"2790+3518=6308
3279+1757=5036
1874+2975=4849
74+263=",74,263,337,False,True,"2790+3518=6308
3279+1757=5036
1874+2975=4849
74+263=337",337,True,"[300, 400)"
"575+2462=3037
3220+1190=4410
2269+4940=7209
153+184=",153,184,337,False,True,"575+2462=3037
3220+1190=4410
2269+4940=7209
153+184=337",337,True,"[300, 400)"
"250+2766=3016
399+1205=1604
1651+829=2480
337+1=",337,1,338,False,False,"250+2766=3016
399+1205=1604
1651+829=2480
337+1=338",338,True,"[300, 400)"
"3359+1286=4645
799+2526=3325
31+4006=4037
150+188=",150,188,338,False,True,"3359+1286=4645
799+2526=3325
31+4006=4037
150+188=338",338,True,"[300, 400)"
"781+3671=4452
1407+1382=2789
1266+2579=3845
91+248=",91,248,339,False,True,"781+3671=4452
1407+1382=2789
1266+2579=3845
91+248=339",339,True,"[300, 400)"
"4075+222=4297
3959+960=4919
862+2816=3678
222+117=",222,117,339,False,False,"4075+222=4297
3959+960=4919
862+2816=3678
222+117=339",339,True,"[300, 400)"
"4098+2303=6401
3588+1796=5384
1050+3579=4629
29+311=",29,311,340,True,False,"4098+2303=6401
3588+1796=5384
1050+3579=4629
29+311=340",340,True,"[300, 400)"
"242+1382=1624
1665+3427=5092
4621+1607=6228
152+188=",152,188,340,True,True,"242+1382=1624
1665+3427=5092
4621+1607=6228
152+188=340",340,True,"[300, 400)"
"2810+757=3567
3631+667=4298
1693+3254=4947
331+10=",331,10,341,False,False,"2810+757=3567
3631+667=4298
1693+3254=4947
331+10=341",341,True,"[300, 400)"
"3753+4619=8372
3978+3935=7913
1295+4505=5800
52+289=",52,289,341,True,True,"3753+4619=8372
3978+3935=7913
1295+4505=5800
52+289=341",341,True,"[300, 400)"
"4242+4910=9152
4467+2870=7337
3089+4547=7636
183+159=",183,159,342,True,True,"4242+4910=9152
4467+2870=7337
3089+4547=7636
183+159=342",342,True,"[300, 400)"
"214+2917=3131
1531+2089=3620
3101+4361=7462
301+41=",301,41,342,False,False,"214+2917=3131
1531+2089=3620
3101+4361=7462
301+41=342",342,True,"[300, 400)"
"3552+2157=5709
4022+1012=5034
4773+792=5565
2+341=",2,341,343,False,False,"3552+2157=5709
4022+1012=5034
4773+792=5565
2+341=343",343,True,"[300, 400)"
"4815+2422=7237
3307+1105=4412
2641+3394=6035
162+181=",162,181,343,False,True,"4815+2422=7237
3307+1105=4412
2641+3394=6035
162+181=343",343,True,"[300, 400)"
"0+2743=2743
4477+1148=5625
2322+4374=6696
227+117=",227,117,344,True,False,"0+2743=2743
4477+1148=5625
2322+4374=6696
227+117=344",344,True,"[300, 400)"
"147+1249=1396
1744+3894=5638
3876+2393=6269
148+196=",148,196,344,True,True,"147+1249=1396
1744+3894=5638
3876+2393=6269
148+196=344",344,True,"[300, 400)"
"2143+204=2347
68+3167=3235
3884+1836=5720
102+243=",102,243,345,False,False,"2143+204=2347
68+3167=3235
3884+1836=5720
102+243=345",345,True,"[300, 400)"
"4129+1898=6027
819+2544=3363
23+4804=4827
48+297=",48,297,345,True,True,"4129+1898=6027
819+2544=3363
23+4804=4827
48+297=345",345,True,"[300, 400)"
"2792+4112=6904
3748+4842=8590
2221+1457=3678
326+20=",326,20,346,False,False,"2792+4112=6904
3748+4842=8590
2221+1457=3678
326+20=346",346,True,"[300, 400)"
"4399+1664=6063
1336+1679=3015
2637+4529=7166
309+37=",309,37,346,True,False,"4399+1664=6063
1336+1679=3015
2637+4529=7166
309+37=346",346,True,"[300, 400)"
"525+4792=5317
4688+2838=7526
3964+3701=7665
341+6=",341,6,347,False,False,"525+4792=5317
4688+2838=7526
3964+3701=7665
341+6=347",347,True,"[300, 400)"
"1541+2201=3742
1563+2577=4140
2466+1359=3825
189+158=",189,158,347,True,True,"1541+2201=3742
1563+2577=4140
2466+1359=3825
189+158=347",347,True,"[300, 400)"
"4489+4035=8524
528+4046=4574
4772+3742=8514
189+159=",189,159,348,True,True,"4489+4035=8524
528+4046=4574
4772+3742=8514
189+159=348",348,True,"[300, 400)"
"3002+563=3565
2369+2325=4694
3606+3493=7099
5+343=",5,343,348,False,False,"3002+563=3565
2369+2325=4694
3606+3493=7099
5+343=348",348,True,"[300, 400)"
"2587+1410=3997
1452+3328=4780
1672+4295=5967
89+260=",89,260,349,False,True,"2587+1410=3997
1452+3328=4780
1672+4295=5967
89+260=349",349,True,"[300, 400)"
"2061+879=2940
436+1042=1478
1110+4141=5251
39+310=",39,310,349,False,False,"2061+879=2940
436+1042=1478
1110+4141=5251
39+310=349",349,True,"[300, 400)"
"2922+3864=6786
3261+3373=6634
2046+556=2602
317+33=",317,33,350,True,False,"2922+3864=6786
3261+3373=6634
2046+556=2602
317+33=350",350,True,"[300, 400)"
"3010+754=3764
4574+306=4880
4262+2889=7151
104+246=",104,246,350,True,False,"3010+754=3764
4574+306=4880
4262+2889=7151
104+246=350",350,True,"[300, 400)"
"1900+1128=3028
4464+559=5023
4616+978=5594
230+121=",230,121,351,False,False,"1900+1128=3028
4464+559=5023
4616+978=5594
230+121=351",351,True,"[300, 400)"
"3664+852=4516
3706+2295=6001
1415+1777=3192
321+30=",321,30,351,False,False,"3664+852=4516
3706+2295=6001
1415+1777=3192
321+30=351",351,True,"[300, 400)"
"4743+1050=5793
4802+118=4920
723+930=1653
208+144=",208,144,352,True,False,"4743+1050=5793
4802+118=4920
723+930=1653
208+144=352",352,True,"[300, 400)"
"665+3043=3708
988+1442=2430
3081+1752=4833
318+34=",318,34,352,True,False,"665+3043=3708
988+1442=2430
3081+1752=4833
318+34=352",352,True,"[300, 400)"
"2489+3860=6349
2296+1372=3668
2395+2993=5388
8+345=",8,345,353,True,False,"2489+3860=6349
2296+1372=3668
2395+2993=5388
8+345=353",353,True,"[300, 400)"
"203+2710=2913
1965+1664=3629
3419+2682=6101
242+111=",242,111,353,False,False,"203+2710=2913
1965+1664=3629
3419+2682=6101
242+111=353",353,True,"[300, 400)"
